replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
False,0.05,256,128,6,0.1,4.706487945476032
False,0.05,256,128,6,0.05,4.706487945476032
False,0.05,256,128,6,0.01,4.832651047027948
False,0.05,256,128,3,0.1,4.794267468010883
False,0.05,256,128,3,0.05,4.794267468010883
False,0.05,256,128,3,0.01,4.962952865140641
False,0.05,256,128,1,0.1,4.827946308460793
False,0.05,256,128,1,0.05,4.827946308460793
False,0.05,256,128,1,0.01,4.946231547759289
True,0.1,256,128,6,0.1,4.5691512776428755
True,0.1,256,128,6,0.05,4.794423066287992
True,0.1,256,128,6,0.01,5.1521821730325055
True,0.1,256,128,3,0.1,4.663022707233227
True,0.1,256,128,3,0.05,4.933040936293996
True,0.1,256,128,3,0.01,5.289388343664043
True,0.1,256,128,1,0.1,4.815017172977597
True,0.1,256,128,1,0.05,4.955770154114908
True,0.1,256,128,1,0.01,5.136653567042093
False,0.1,256,128,6,0.1,4.535949353478279
False,0.1,256,128,6,0.05,4.535949353478279
False,0.1,256,128,6,0.01,4.872753358168806
False,0.1,256,128,3,0.1,4.6567602477657495
False,0.1,256,128,3,0.05,4.6567602477657495
False,0.1,256,128,3,0.01,4.99862222541112
False,0.1,256,128,1,0.1,4.698187547414625
False,0.1,256,128,1,0.05,4.698187547414625
False,0.1,256,128,1,0.01,4.969968240997523
True,0.01,256,256,6,0.1,4.645974360466596
True,0.01,256,256,6,0.05,4.726193077153786
True,0.01,256,256,6,0.01,4.995995659647408
True,0.01,256,256,3,0.1,4.691495231251453
True,0.01,256,256,3,0.05,4.7981368480371795
True,0.01,256,256,3,0.01,5.02412938152951
True,0.01,256,256,1,0.1,4.787746305714638
True,0.01,256,256,1,0.05,4.8725601857756144
True,0.01,256,256,1,0.01,4.994878278154998
False,0.01,256,256,6,0.1,4.930204736734488
False,0.01,256,256,6,0.05,4.930204736734488
False,0.01,256,256,6,0.01,4.930204736734488
False,0.01,256,256,3,0.1,4.936131411564876
False,0.01,256,256,3,0.05,4.936131411564876
False,0.01,256,256,3,0.01,4.936131411564876
False,0.01,256,256,1,0.1,4.924319461089917
False,0.01,256,256,1,0.05,4.924319461089917
False,0.01,256,256,1,0.01,4.924319461089917
True,0.05,256,256,6,0.1,4.548622358504699
True,0.05,256,256,6,0.05,4.69144918401468
True,0.05,256,256,6,0.01,4.929111175169628
True,0.05,256,256,3,0.1,4.58608362228697
True,0.05,256,256,3,0.05,4.736492845714277
True,0.05,256,256,3,0.01,4.943769654996503
True,0.05,256,256,1,0.1,4.714914953879053
True,0.05,256,256,1,0.05,4.8275298198014776
True,0.05,256,256,1,0.01,4.941262460925551
False,0.05,256,256,6,0.1,4.582284118019327
False,0.05,256,256,6,0.05,4.582284118019327
False,0.05,256,256,6,0.01,4.68753742534526
False,0.05,256,256,3,0.1,4.6210815098953955
False,0.05,256,256,3,0.05,4.6210815098953955
False,0.05,256,256,3,0.01,4.712372000429332
False,0.05,256,256,1,0.1,4.61655720010761
False,0.05,256,256,1,0.05,4.61655720010761
False,0.05,256,256,1,0.01,4.725796752571689
